COOPERATIVA,MES#,AÑO,ACTIVOS TOTALES,ACTIVOS NETOS,DISPONIBILIDADES,Depositos BCH hn,Depositos Bancos hn,INVERSIONES,Inversiones hn,Inversiones FEC hn,PRESTAMOS,Vigentes hn,Atrasados hn,Vencidos hn,Demanda Judicial hn,CUENTAS X COBRAR,ACTIVOS EVENTUALES,"PROPIEDAD, PLANTA, EQUIPO",CARGOS DIFERIDOS,ACTIVOS DE INVERSION,ACTIVOS INTANGIBLES,PASIVOS TOTALES,EXIGIBILIDADES INMEDIATAS,EXIGIBILIDADES X DEPOSITOS,Depositos Ahorro hn,DPF hn,OTRAS EXIGIBILIDADES,OBLIGACIONES BANCARIAS,CREDITOS DIFERIDOS,PROVISIONES DE VALUACION,PROVISIONES EVENTUALES,PATRIMONIO,PATRIMONIO PRIMARIO,Aportaciones,Reserva,PATRIMONIO COMPLEMENTARIO,PROPIEDAD PLANTA EQUIPO
MARIA CLARET,8,2020,261050600,261050600,23157098,0,18862584,64563951,52987265,8610000,173329551,92325807,79834334,865458,303950,0,0,0,0,0,0,0,0,0,79141177,60603432,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,9,2020,268850773,268850773,19023759,0,15336353,64556150,52987306,8610000,185270864,116440784,67662401,863728,303950,0,0,0,0,0,0,0,0,0,83931493,60500492,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,10,2020,273695462,273695462,19359699,0,14742018,64541530,52987319,8610000,189794233,130639483,58326679,557641,270428,0,0,0,0,0,0,0,0,0,85135090,64234492,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,11,2020,283030840,283030840,24740619,0,21051241,69528108,57987391,8610000,188762113,121601676,66285537,621448,253451,0,0,0,0,0,0,0,0,0,86329112,63818637,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,12,2020,294546168,294546168,27139228,0,22724078,77516834,65988426,8610000,189890106,161124717,28414193,114444,236751,0,0,0,0,0,0,0,0,0,88730320,71754587,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,1,2021,294554742,294554742,30325384,0,26713556,79190791,67665590,8610000,185038567,144930072,39768732,120256,219506,0,0,0,0,0,0,0,0,0,88267279,74431821,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,2,2021,291877814,291877814,19459588,0,15777426,85661909,73776602,8610000,186756317,134089595,52243327,203887,219506,0,0,0,0,0,0,0,0,0,87590206,83363822,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,3,2021,294072679,294072679,17332077,0,13085150,81154059,69276752,8610000,195586543,154001499,41152805,229879,202359,0,0,0,0,0,0,0,0,0,88283148,83290770,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,4,2021,297990438,297990438,24163272,0,19605158,81008496,69375764,8400000,192818670,151233626,41152805,229879,202359,0,0,0,0,0,0,0,0,0,91414648,85595770,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,5,2021,299308389,299308389,20766222,0,16138870,85511247,73875840,8400000,193030920,143043002,49493993,325986,167937,0,0,0,0,0,0,0,0,0,99366116,83694570,0,0,0,0,0,0,0,0,0,0,
